VTX, IDX, _15.x, _15.y, _15.z, _18.x, _18.y, _18.z, _22.x, _22.y, _22.z, _22.w, _21.x, _21.y
2076, 423, -0.17453,  0.2261, -0.22189, -0.55924,  0.80605,  0.19375,  0.32719, -0.00013,  0.94496, -1.00,  0.68994,  0.66113
2077, 427, -0.18203,  0.21446, -0.26634, -0.71166,  0.53582, -0.45436, -0.09144,  0.5706,  0.81612, -1.00,  0.6499,  0.66113
2078, 433, -0.19614,  0.20353, -0.26106, -0.8218,  0.40352, -0.40227, -0.11375,  0.57561,  0.80977, -1.00,  0.64893,  0.68066
2079, 427, -0.18203,  0.21446, -0.26634, -0.71166,  0.53582, -0.45436, -0.09144,  0.5706,  0.81612, -1.00,  0.6499,  0.66113
2080, 424, -0.16298,  0.18262, -0.2787,  0.63874,  0.57634,  0.50975, -0.67697,  0.73583,  0.01634, -1.00,  0.6123,  0.6543
2081, 434, -0.16567,  0.18273, -0.28461, -0.28426, -0.03655, -0.95805, -0.52951,  0.83903,  0.1251, -1.00,  0.6123,  0.66113
2082, 424, -0.16298,  0.18262, -0.2787,  0.63874,  0.57634,  0.50975, -0.67697,  0.73583,  0.01634, -1.00,  0.6123,  0.6543
2083, 432, -0.12769,  0.12995, -0.27473,  0.17569, -0.375, -0.91022, -0.62412,  0.67261, -0.39758, -1.00,  0.55029,  0.66113
2084, 434, -0.16567,  0.18273, -0.28461, -0.28426, -0.03655, -0.95805, -0.52951,  0.83903,  0.1251, -1.00,  0.6123,  0.66113
2085, 427, -0.18203,  0.21446, -0.26634, -0.71166,  0.53582, -0.45436, -0.09144,  0.5706,  0.81612, -1.00,  0.6499,  0.66113
2086, 434, -0.16567,  0.18273, -0.28461, -0.28426, -0.03655, -0.95805, -0.52951,  0.83903,  0.1251, -1.00,  0.6123,  0.66113
2087, 435, -0.18055,  0.17137, -0.27905, -0.40145, -0.19218, -0.89549, -0.54982,  0.83253,  0.06782, -1.00,  0.61182,  0.68066
2088, 427, -0.18203,  0.21446, -0.26634, -0.71166,  0.53582, -0.45436, -0.09144,  0.5706,  0.81612, -1.00,  0.6499,  0.66113
2089, 435, -0.18055,  0.17137, -0.27905, -0.40145, -0.19218, -0.89549, -0.54982,  0.83253,  0.06782, -1.00,  0.61182,  0.68066
2090, 433, -0.19614,  0.20353, -0.26106, -0.8218,  0.40352, -0.40227, -0.11375,  0.57561,  0.80977, -1.00,  0.64893,  0.68066
2091, 434, -0.16567,  0.18273, -0.28461, -0.28426, -0.03655, -0.95805, -0.52951,  0.83903,  0.1251, -1.00,  0.6123,  0.66113
2092, 432, -0.12769,  0.12995, -0.27473,  0.17569, -0.375, -0.91022, -0.62412,  0.67261, -0.39758, -1.00,  0.55029,  0.66113
2093, 436, -0.14335,  0.12027, -0.26864,  0.06211, -0.54797, -0.83419, -0.58683,  0.65602, -0.47462, -1.00,  0.55078,  0.68066
