VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input2.x, _input2.y, _input3.x, _input3.y
8812, 1950,  3.20662,  1.83358,  1.7481,  0.58959, -0.28646,  0.45861,  0.3486,  0.5999,  0.3486,  0.5999
8813, 1951,  3.1513,  1.619,  1.59046,  0.61244, -0.39779,  0.32662,  0.3347,  0.5932,  0.3347,  0.5932
8814, 1854, -4.50484, -0.98225,  1.06633, -0.58845,  0.50016,  0.20872,  0.5699,  0.8688,  0.5699,  0.8688
8815, 1852, -4.7992, -1.03106,  0.92013, -0.31134,  0.7369,  0.00672,  0.5941,  0.8543,  0.5941,  0.8543
8816, 1858, -4.62625, -1.00388,  1.05664, -0.18674,  0.33738,  0.70093,  0.5761,  0.8605,  0.5761,  0.8605
8817, 1852, -4.7992, -1.03106,  0.92013, -0.31134,  0.7369,  0.00672,  0.5941,  0.8543,  0.5941,  0.8543
8818, 1851, -4.46592, -0.93139,  0.64746, -0.28422,  0.74733, -0.02689,  0.5982,  0.8925,  0.5982,  0.8925
8819, 1859, -4.73472, -1.07878,  0.71807, -0.57073,  0.52052,  0.20815,  0.6074,  0.8668,  0.6074,  0.8668
8820, 1950,  3.20662,  1.83358,  1.7481,  0.58959, -0.28646,  0.45861,  0.3486,  0.5999,  0.3486,  0.5999
8821, 1938,  2.95088,  1.57901,  1.75941,  0.34771, -0.45857,  0.5557,  0.3472,  0.5777,  0.3472,  0.5777
8822, 1951,  3.1513,  1.619,  1.59046,  0.61244, -0.39779,  0.32662,  0.3347,  0.5932,  0.3347,  0.5932
8823, 1851, -4.46592, -0.93139,  0.64746, -0.28422,  0.74733, -0.02689,  0.5982,  0.8925,  0.5982,  0.8925
8824, 1860, -4.88526, -1.1107,  0.7015, -0.39307,  0.64756,  0.25722,  0.6156,  0.8565,  0.6156,  0.8565
8825, 1859, -4.73472, -1.07878,  0.71807, -0.57073,  0.52052,  0.20815,  0.6074,  0.8668,  0.6074,  0.8668
8826, 1839, -4.57268, -0.99104,  0.44316, -0.24371,  0.7468, -0.15134,  0.6189,  0.8931,  0.6189,  0.8931
